"","X1","X1_1","County","Biden votes","Biden pct","Trump votes","Trump pct","PARTY"
"89",89,89,"Liberty County",13104,"61.3%",7959,"37.2%","DEMOCRATIC PARTY"
"90",90,90,"Lincoln County",1432,"30.9%",3173,"68.4%","REPUBLICAN PARTY"
"91",91,91,"Long County",2035,"36.0%",3527,"62.3%","REPUBLICAN PARTY"
"92",92,92,"Lowndes County",20116,"43.4%",25692,"55.4%","REPUBLICAN PARTY"
"93",93,93,"Lumpkin County",3126,"20.1%",12163,"78.3%","REPUBLICAN PARTY"
"94",94,94,"Macon County",2858,"61.3%",1783,"38.2%","DEMOCRATIC PARTY"
"95",95,95,"Madison County",3411,"22.8%",11326,"75.8%","REPUBLICAN PARTY"
"96",96,96,"Marion County",1312,"36.2%",2275,"62.8%","REPUBLICAN PARTY"
"97",97,97,"McDuffie County",4168,"39.9%",6169,"59.0%","
REPUBLICAN PARTY"
"98",98,98,"McIntosh County",2612,"39.0%",4016,"60.0%","REPUBLICAN PARTY"
"99",99,99,"Meriwether County",4287,"39.4%",6524,"60.0%","REPUBLICAN PARTY"
"100",100,100,"Miller County",748,"26.4%",2066,"72.9%","REPUBLICAN PARTY"
"101",101,101,"Mitchell County",3993,"44.6%",4935,"55.1%","REPUBLICAN PARTY"
"102",102,102,"Monroe County",4385,"28.1%",11057,"70.9%","REPUBLICAN PARTY"
"103",103,103,"Montgomery County",980,"24.7%",2960,"74.6%","REPUBLICAN PARTY"
"104",104,104,"Morgan County",3353,"28.6%",8231,"70.3%","REPUBLICAN PARTY"
"105",105,105,"Murray County",2301,"15.0%",12944,"84.1%","REPUBLICAN PARTY"
"106",106,106,"Muscogee County",49446,"61.4%",30107,"37.4%","DEMOCRATIC PARTY"
"107",107,107,"Newton County",29789,"54.9%",23869,"44.0%","DEMOCRATIC PARTY"
"108",108,108,"Oconee County",8162,"32.4%",16595,"65.9%","REPUBLICAN PARTY"
"109",109,109,"Oglethorpe County",2439,"30.0%",5592,"68.8%","REPUBLICAN PARTY"
"110",110,110,"Paulding County",29695,"34.8%",54517,"63.9%","REPUBLICAN PARTY"
"111",111,111,"Peach County",5922,"47.2%",6506,"51.8%","REPUBLICAN PARTY"
"112",112,112,"Pickens County",2824,"16.5%",14110,"82.2%","REPUBLICAN PARTY"
"113",113,113,"Pierce County",1100,"12.2%",7898,"87.3%","REPUBLICAN PARTY"
"114",114,114,"Pike County",1505,"14.0%",9127,"85.1%","REPUBLICAN PARTY"
"115",115,115,"Polk County",3657,"21.0%",13587,"78.1%","REPUBLICAN PARTY"
"116",116,116,"Pulaski County",1230,"30.1%",2815,"69.0%","REPUBLICAN PARTY"
"117",117,117,"Putnam County",3448,"29.1%",8291,"69.9%","REPUBLICAN PARTY"
"118",118,118,"Quitman County",497,"44.9%",604,"54.6%","REPUBLICAN PARTY"
"119",119,119,"Rabun County",1984,"20.7%",7474,"78.1%","REPUBLICAN PARTY"
"120",120,120,"Randolph County",1671,"54.4%",1390,"45.2%","DEMOCRATIC PARTY"
"121",121,121,"Richmond County",59119,"67.9%",26780,"30.8%","DEMOCRATIC PARTY"
"122",122,122,"Rockdale County",31237,"69.9%",13014,"29.1%","DEMOCRATIC PARTY"
"123",123,123,"Schley County",462,"20.3%",1800,"79.1%","REPUBLICAN PARTY"
"124",124,124,"Screven County",2661,"40.2%",3915,"59.1%","REPUBLICAN PARTY"
"125",125,125,"Seminole County",1256,"32.3%",2613,"67.2%","REPUBLICAN PARTY"
"126",126,126,"Spalding County",11828,"39.2%",18104,"59.9%","
REPUBLICAN PARTY"
"127",127,127,"Stephens County",2386,"20.1%",9367,"78.8%","REPUBLICAN PARTY"
"128",128,128,"Stewart County",1182,"59.4%",801,"40.3%","DEMOCRATIC PARTY"
"129",129,129,"Sumter County",6314,"52.0%",5733,"47.2%","DEMOCRATIC PARTY"
"130",130,130,"Talbot County",2114,"60.0%",1392,"39.5%","DEMOCRATIC PARTY"
"131",131,131,"Taliaferro County",561,"60.5%",360,"38.8%","DEMOCRATIC PARTY"
"132",132,132,"Tattnall County",2062,"25.2%",6054,"74.0%","REPUBLICAN PARTY"
"133",133,133,"Taylor County",1388,"36.1%",2420,"63.0%","REPUBLICAN PARTY"
"134",134,134,"Telfair County",1488,"34.3%",2825,"65.2%","REPUBLICAN PARTY"
"135",135,135,"Terrell County",2376,"53.8%",2004,"45.4%","DEMOCRATIC PARTY"
"136",136,136,"Thomas County",8708,"39.8%",12969,"59.3%","REPUBLICAN PARTY"
"137",137,137,"Tift County",5318,"32.7%",10784,"66.2%","REPUBLICAN PARTY"
"138",138,138,"Toombs County",2938,"26.9%",7873,"72.1%","REPUBLICAN PARTY"
"139",139,139,"Towns County",1550,"19.4%",6384,"80.0%","REPUBLICAN PARTY"
"140",140,140,"Treutlen County",952,"30.9%",2101,"68.3%","REPUBLICAN PARTY"
"141",141,141,"Troup County",11577,"38.5%",18142,"60.4%","REPUBLICAN PARTY"
"142",142,142,"Turner County",1409,"37.2%",2349,"62.0%","REPUBLICAN PARTY"
"143",143,143,"Twiggs County",2044,"46.0%",2370,"53.3%","REPUBLICAN PARTY"
"144",144,144,"Union County",2800,"18.0%",12650,"81.3%","REPUBLICAN PARTY"
"145",145,145,"Upson County",4203,"32.6%",8606,"66.7%","REPUBLICAN PARTY"
"146",146,146,"Walker County",5770,"19.7%",23173,"78.9%","REPUBLICAN PARTY"
"147",147,147,"Walton County",12683,"24.8%",37839,"74.1%","REPUBLICAN PARTY"
"148",148,148,"Ware County",4169,"29.4%",9903,"69.8%","REPUBLICAN PARTY"
"149",149,149,"Warren County",1468,"55.4%",1166,"44.0%","DEMOCRATIC PARTY"
"150",150,150,"Washington County",4743,"50.0%",4668,"49.3%","DEMOCRATIC PARTY"
"151",151,151,"Wayne County",2688,"21.0%",9987,"78.2%","REPUBLICAN PARTY"
"152",152,152,"Webster County",640,"46.0%",748,"53.8%","REPUBLICAN PARTY"
"153",153,153,"Wheeler County",689,"30.2%",1583,"69.3%","REPUBLICAN PARTY"
"154",154,154,"White County",2411,"16.3%",12222,"82.5%","REPUBLICAN PARTY"
"155",155,155,"Whitfield County",10680,"29.0%",25644,"69.7%","REPUBLICAN PARTY"
"156",156,156,"Wilcox County",861,"26.3%",2402,"73.3%","REPUBLICAN PARTY"
"157",157,157,"Wilkes County",2160,"42.9%",2823,"56.1%","REPUBLICAN PARTY"
"158",158,158,"Wilkinson County",2074,"43.5%",2665,"55.9%","REPUBLICAN PARTY"
"159",159,159,"Worth County",2395,"25.8%",6830,"73.6%","REPUBLICAN PARTY"
