"","X1","X1_1","County","Biden votes","Biden pct","Trump votes","Trump pct","PARTY"
"89",109,109,"Oglethorpe County",2439,"30.0%",5592,"68.8%","REPUBLICAN PARTY"
"90",110,110,"Paulding County",29695,"34.8%",54517,"63.9%","REPUBLICAN PARTY"
"91",111,111,"Peach County",5922,"47.2%",6506,"51.8%","REPUBLICAN PARTY"
"92",112,112,"Pickens County",2824,"16.5%",14110,"82.2%","REPUBLICAN PARTY"
"93",113,113,"Pierce County",1100,"12.2%",7898,"87.3%","REPUBLICAN PARTY"
"94",114,114,"Pike County",1505,"14.0%",9127,"85.1%","REPUBLICAN PARTY"
"95",115,115,"Polk County",3657,"21.0%",13587,"78.1%","REPUBLICAN PARTY"
"96",116,116,"Pulaski County",1230,"30.1%",2815,"69.0%","REPUBLICAN PARTY"
"97",117,117,"Putnam County",3448,"29.1%",8291,"69.9%","REPUBLICAN PARTY"
"98",118,118,"Quitman County",497,"44.9%",604,"54.6%","REPUBLICAN PARTY"
"99",119,119,"Rabun County",1984,"20.7%",7474,"78.1%","REPUBLICAN PARTY"
"100",123,123,"Schley County",462,"20.3%",1800,"79.1%","REPUBLICAN PARTY"
"101",124,124,"Screven County",2661,"40.2%",3915,"59.1%","REPUBLICAN PARTY"
"102",125,125,"Seminole County",1256,"32.3%",2613,"67.2%","REPUBLICAN PARTY"
"103",126,126,"Spalding County",11828,"39.2%",18104,"59.9%","
REPUBLICAN PARTY"
"104",127,127,"Stephens County",2386,"20.1%",9367,"78.8%","REPUBLICAN PARTY"
"105",132,132,"Tattnall County",2062,"25.2%",6054,"74.0%","REPUBLICAN PARTY"
"106",133,133,"Taylor County",1388,"36.1%",2420,"63.0%","REPUBLICAN PARTY"
"107",134,134,"Telfair County",1488,"34.3%",2825,"65.2%","REPUBLICAN PARTY"
"108",136,136,"Thomas County",8708,"39.8%",12969,"59.3%","REPUBLICAN PARTY"
"109",137,137,"Tift County",5318,"32.7%",10784,"66.2%","REPUBLICAN PARTY"
"110",138,138,"Toombs County",2938,"26.9%",7873,"72.1%","REPUBLICAN PARTY"
"111",139,139,"Towns County",1550,"19.4%",6384,"80.0%","REPUBLICAN PARTY"
"112",140,140,"Treutlen County",952,"30.9%",2101,"68.3%","REPUBLICAN PARTY"
"113",141,141,"Troup County",11577,"38.5%",18142,"60.4%","REPUBLICAN PARTY"
"114",142,142,"Turner County",1409,"37.2%",2349,"62.0%","REPUBLICAN PARTY"
"115",143,143,"Twiggs County",2044,"46.0%",2370,"53.3%","REPUBLICAN PARTY"
"116",144,144,"Union County",2800,"18.0%",12650,"81.3%","REPUBLICAN PARTY"
"117",145,145,"Upson County",4203,"32.6%",8606,"66.7%","REPUBLICAN PARTY"
"118",146,146,"Walker County",5770,"19.7%",23173,"78.9%","REPUBLICAN PARTY"
"119",147,147,"Walton County",12683,"24.8%",37839,"74.1%","REPUBLICAN PARTY"
"120",148,148,"Ware County",4169,"29.4%",9903,"69.8%","REPUBLICAN PARTY"
"121",151,151,"Wayne County",2688,"21.0%",9987,"78.2%","REPUBLICAN PARTY"
"122",152,152,"Webster County",640,"46.0%",748,"53.8%","REPUBLICAN PARTY"
"123",153,153,"Wheeler County",689,"30.2%",1583,"69.3%","REPUBLICAN PARTY"
"124",154,154,"White County",2411,"16.3%",12222,"82.5%","REPUBLICAN PARTY"
"125",155,155,"Whitfield County",10680,"29.0%",25644,"69.7%","REPUBLICAN PARTY"
"126",156,156,"Wilcox County",861,"26.3%",2402,"73.3%","REPUBLICAN PARTY"
"127",157,157,"Wilkes County",2160,"42.9%",2823,"56.1%","REPUBLICAN PARTY"
"128",158,158,"Wilkinson County",2074,"43.5%",2665,"55.9%","REPUBLICAN PARTY"
"129",159,159,"Worth County",2395,"25.8%",6830,"73.6%","REPUBLICAN PARTY"
