"","X1","County","Warnock votes","Warnock pct","Loeffler votes","Loeffler pct","PARTY"
"148",148,"Ware County",3710,"30.4%",8499,"69.6%","REPUBLICAN  PARTY"
"149",149,"Warren County",1395,"56.5%",1072,"43.5%","DEMOCRATIC PARTY"
"150",150,"Washington County",4398,"51.5%",4144,"48.5%","DEMOCRATIC PARTY"
"151",151,"Wayne County",2471,"22.0%",8741,"78.0%","REPUBLICAN  PARTY"
"152",152,"Webster County",551,"43.9%",704,"56.1%","REPUBLICAN  PARTY"
"153",153,"Wheeler County",633,"31.6%",1373,"68.4%","REPUBLICAN  PARTY"
"154",154,"White County",2272,"17.1%",11014,"82.9%","REPUBLICAN  PARTY"
"155",155,"Whitfield County",9184,"29.0%",22440,"71.0%","REPUBLICAN  PARTY"
"156",156,"Wilcox County",767,"26.9%",2084,"73.1%","REPUBLICAN  PARTY"
"157",157,"Wilkes County",1956,"43.1%",2581,"56.9%","REPUBLICAN  PARTY"
"158",158,"Wilkinson County",1976,"45.8%",2342,"54.2%","REPUBLICAN  PARTY"
"159",159,"Worth County",2227,"26.9%",6037,"73.1%","REPUBLICAN  PARTY"
